Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$112K-$116K (Glassdoor est.),"We believe the future of money is integrated and personal. Bond’s mission is to accelerate the pace of financial innovation and access to capital. Our enterprise-grade financial technology platform streamlines the integration between brands and banks, dramatically reducing friction and creating a more repeatable model. Through our AI-powered infrastructure, Bond enables digital brands to better engage their customers by offering personalized and compliant banking products.

Bond is hiring a Data Scientist team to partner with the executive team and other cross functional stakeholders such as Product, Marketing, Design and Compliance. You will own metric definition, analysis, and presentation of critical business metrics for the team to drive growth and efficiency across the company.

You will:

Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products
Partner with Product and Engineering teams to solve problems and identify trends and opportunities
Inform, influence, support, and execute our product decisions and product launches
Questions you may be asked to perform:
Forecasting and setting product team goals
Designing and evaluating experiments
Monitoring key product metrics, understanding root causes of changes in metrics
Building and analyzing dashboards and reports
Building key data sets to empower operational and exploratory analysis

You will have:

1-3 years of experience in data science and analytics in financial services
Experience in trend analysis, factor based analysis and predictive modeling.
Strong communication skills
Expert knowledge of SQL, python, R
BS in engineering, mathematics, science or equivalent

You may also have:

Advanced degrees
Familiarity with machine learning
Familiarity with Tableau, Looker, PowerBI or other data visualization tools
Ability to work in a dynamic, cross-functional environment, with a strong attention to detail

At Bond, we value leadership and believe everyone is a leader. We look for people who operate like owners, who loves to learn, have grit, and operate with integrity and empathy. You're encouraged to apply even if your experience doesn't precisely match the job description. Your skills and passion will stand out — and set you apart. We welcome diverse perspectives and people who are not afraid to challenge assumptions.

Bond is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, gender, gender identity, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.",-1,Bond,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2019,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1
Senior Data & Applied Scientist (REMOTE),$112K-$116K (Glassdoor est.),"Senior Data & Applied Scientist
Do you have a passion for Data and Machine Learning? Do you dream of working with customers on their most forward-looking AI initiatives? Does the challenge of developing modern machine learning solutions to solve real-world business problems in the cloud sound exciting to you? You may be the Senior Data & Applied Scientist we have been looking for!

The Commercial Software Engineering (CSE) team is a global engineering organization that works directly with customers looking to leverage the latest technologies to address their toughest challenges and transform their industries using cloud-based solutions. We work in collaboration with Microsoft product teams, partners and open source communities-to empower our customers to do more with the cloud. We pride ourselves on making contributions to open source and make our platforms easier to adopt.

You will be delivering high-impact engineering projects using both open-source and Microsoft technologies, in a community model within our team, and partnering with other engineering and product teams at Microsoft to align the work with our customers' project goals. You will be working side by side with customers and their developers to build innovative solutions to solve exciting business problems and collaborating with the Microsoft product teams to improve our products, ultimately to make it easier for developers to use Microsoft platforms.

Responsibilities:
Responsibilities
Developing and deploying solutions with some of Microsoft's largest customers for solving business problems using machine (deep) learning and predictive modeling techniques.
End-to-end execution of the data science process: from understanding business requirements, data discovery and extraction, model development and evaluation, to production pipeline implementation.
Providing technical subject matter expertise in OSS and Microsoft AI and Data technologies, ranging from helping our product teams understand our gaps, through to navigating our customers to the right technology choices for their business.
Qualifications:
Qualifications
Required Qualifications:
2+ years of real-world experience with machine learning algorithms for classification, regression, clustering, reinforcement learning, dimensionality reduction with expertise one or more application domains of NLP, image processing, time series analysis including some knowledge of the concepts of taking projects to scale in the cloud.
Fluency in English
Preferred Qualifications:
Skilled in Python, experience with Pandas, Scikit-learn.
Experience with agile development practices and Git version control.
Experience with one or more of the DNN frameworks like TensorFlow, PyTorch, Chainer.
Experience with Spark, SQL, Graph stores, or NoSQL stores.
Domain expertise in one or more of financial services, retail, marketing, health care, manufacturing.
Ability to communicate in business and technical settings.
Enjoy travel and comfortable with regional travel up to 20%
MS or PhD in Computer Science, EE, Statistics, Operations Research or equivalent technical field.
At Microsoft we are seeking people who have a passion for the positive impact technology can have on the communities and for making a difference in the world. Within CSE, we have an informal and flexible work environment and you'll be welcome to work from home, our offices, customer sites- wherever is best for you to get your job done. We invest in your health, wellness and financial future by offering a competitive package including a wide range of benefits built around your personal needs and those close to you.

CSE-FY20

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form .

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",4.3,"Microsoft
4.3","Phoenix, AZ","Redmond, WA",10000+ employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Google, Amazon, Apple"
Data Scientist,$112K-$116K (Glassdoor est.),"Job Description
Title: Data Scientist

Location: Springfield, VA - perhaps other locations as well

***Active TS/SCI Security Clearance Required***

Summary

Royce Geospatial Consultants is looking for an energetic and experienced data scientist and or modeling expert with experience working within a Multi-Int environment.

Responsibilities
Works with large structured / unstructured data sets, various rest/wms data services, multiple database programs and collection systems, in a modeling and analytical environment, solving hard intelligence problems and issues.
Uses exploratory data analysis techniques to identify meaningful relationships, patterns, or trends from complex data
Combines applied mathematics, programming skills, analytical techniques, and data to provide impactful insights for decision makers
Researches and implement optimization models, strategies, and methods to inform data management activities and analyses
Applies big data analytics tools to large, diverse sets of collection data to assess risk of adverse threat activities
Qualifications
10 years of experience as an intelligence analyst (single-INT or all-source) utilizing data from multiple intelligence disciplines (HUMINT, SIGINT, GEOINT, OSINT, MASINT) required
Experience using spatial and statistical analysis techniques for performing problem solving against disparate datasets required
Scripting knowledge (JS, Python) is a huge plus and any experience using model based analytics programs like JEMA, NODE RED, etc. and software packages like SAS is beneficial
Active TS/SCI Clearance REQUIRED
Desired Experience
Keyhole Markup Language (KML) and GIS software such as Google Earth, ArcGIS
Experience using Joint Enterprise Modeling and Analytics software (JEMA), FADE/ MIST
Database administration and query languages (predominantly SQL Select statements),
Python expressions or other related scripting languages
HTTP, HTML, CSS and programming languages such as Java, JavaScript, Python and various web service frameworks
Who we are..... ROYCE GEO

We're not your typical government contracting company, nor do we want to be. At Royce GEO, we live for building durable and long-lasting relationships with our clients, providing exceptional service with a CAN'T QUIT / WON'T QUIT attitude. We are creating a culture of winning, optimism, FUN and caring for the ""guy or gal"" next to you. If you want to work in a real team environment and share the wealth and satisfaction of providing real value to your customer, then this company may be just for you. Visit our site: www.RoyceGeo.com

Full Medical | 401K match | Competitive Salary | Robust Training Offering | Generous Paid Time Off

Equal Opportunity Employer

Powered by JazzHR",5.0,"Royce Geospatial
5.0","Springfield, VA","Arlington, VA",51 to 200 employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),-1
Data Scientist,$112K-$116K (Glassdoor est.),"Concentric Corporation is currently seeking a talented Data Scientist for our client in the Omaha area.

Responsibilities
Strong experience in Data Science/Research Analysis
Strong experience in Key-Driver Analysis, Regression Analysis, and Customer Behavior Analytics
Experience with IBM Modeler (SPSS) software is preferred, but not required.
Please submit resumes to jobs@concentriccorp.com for consideration. Only the most qualified applicants will be contacted for interviews.

REF# 2710",4.4,"Concentric Corporation
4.4","Omaha, NE","Omaha, NE",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1
Data Scientist,$112K-$116K (Glassdoor est.),"RII develops cutting-edge software for the government and military. We use agile development practices and user-centered design to create innovative software solutions for complex real-world problems. We're breaking through the big, slow status quo with transformative technology that fundamentally changes and improves the world.

Our team is currently seeking Data Scientist for a position at INDOPACOM. The Data Scientist will work directly with INDOPACOM staff to identify, analyze, and model data within “problem-set context” and framed by developed(ing) plans.

If you are a sharp data scientist, computational researcher, or experienced analyst with demonstrated capabilities in implementing statistically validated analytical solutions we want to hear from you. Joining RII not only provides unique challenges and opportunities, it also directly and positively impacts many of our Defense and Homeland Security end users.
WHAT YOU WILL BE DOING
Identify, develop, and evaluate statistical methods and machine learning capabilities in support of multiple customer projects
Maintain awareness of current and emerging capabilities in statistical methods, machine learning, and analytical technologies and how these apply to solving our customers’ challenges
Develop captivating solutions by collaborating with customers and development team
Document use cases, solutions, & recommendations to customers
WHAT YOU HAVE DONE
BS in a computational field (e.g., Computer Science, Mathematics, Astrophysics), or equivalent work experience
Proficient software development in Python or Java
Experience in statistical modeling with uncertainty quantification/performance estimation
Experience performing exploratory analysis – cleaning, joining, enriching, statistical modeling, and prototyping visualizations to identify latent trends and patterns
Experience curating training and analysis datasets – cleaning, enriching, joining, annotating, and crowdsourcing data for creating and evaluating production models
Working knowledge of databases (NoSQL and relational)
EVEN BETTER
Active TS/SCI preferred
Experience designing, developing, training, tuning, and deploying learning models in current ML frameworks (e.g., Tensorflow, PyTorch, Theano, Caffe, Spark MLib, etc.)
Excellent understanding of ETL and data analytics platforms
Experience with Agile Methodologies
Experience with natural language processing techniques and technologies
Extensive experience with model transfer techniques and methodologies
Experience applying machine learning techniques to sparse data sets
Experience with data quality and data profiling tools
An active TS security clearance is required for this role.

Research Innovations, Inc. is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national, origin, disability status, protected veteran status, or any other characteristic protected by law.
Apply for this job",4.7,"Research Innovations
4.7","Honolulu, HI","Alexandria, VA",51 to 200 employees,2009,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$112K-$116K (Glassdoor est.),"About Turn/River

Turn/River Capital is a leading technology-focused private equity firm headquartered in San Francisco with $700M under management. We specialize in growth capital investments, founder liquidity, buyouts, spin-outs, and recapitalizations of small-scale web technology.

Our mission is to grow established B2B SaaS companies that have been largely bootstrapped, lean, and profitable to date. We combine capital with data-driven marketing, sales optimization, and operational execution to help companies double or triple their growth and build significant value.

At Turn/River, we are analytically minded, curious by nature, and voracious learners. We welcome people of different backgrounds, experiences, abilities, and perspectives. We are an equal opportunity employer with an inclusive working environment.

About the Role

We are looking for a passionate data driven person to join our internal operational team. You will be responsible for supporting the marketing, sales, and customer success leaders internal to Turn/River, as well as working on projects for our portfolio companies that will have an immediate impact on growth.

As a part of the data team, you will be responsible for all aspects of the data lifecycle: putting systems in place to collect the data, clean the data, find insights within the data, and ultimately present those insights to business leaders to make decisions. The long term vision is to work with the rest of the data team to build a playbook that defines the systems, tools, integrations, and analytics that can be applied to any new and existing portfolio companies. This playbook will then be used by the investment team to underwrite future investments.

Responsibilities
Interpreting data, analyzing results using statistical techniques
Building dashboards for the marketing, sales, and customer success teams to track the core metrics of our portfolio companies
Implementing data collection systems
Perform deep analyses and build models to extract key insights and patterns that impact business decisions
Collect, combine, and clean data from multiple sources
Implement Salesforce, Outreach, and other business tools for our portfolio companies that will allow us to track the necessary metrics
Conduct Salesforce administrator duties for the portfolio companies when needed — create process builders, build dashboards, add fields/objects, etc.
Experience/Skills
2 years of experience in a data analyst, data scientist, or other analytical role
B.A/B.S in a quantitative field such as mathematics, statistics, engineering or business analytics
Strong excel skills, including array formulas
Comfortable in SQL and some experience with a programming language, Python or Javascript is a plus
Experience building dashboards in BI tools such as Tableau or Looker
Very data-driven, intellectually curious, and numerically inclined
Strong project management, organizational, process management, and communication skills
Knowledge of Salesforce implementation is a plus but not required
Benefits
An opportunity to make a dramatic impact across multiple high growth tech firms
Competitive salary, equity, and health benefits
401K
Commuter benefits
Equipment of your choice
Energetic work environment with perks - snacks, monthly team lunches, etc
A company who enjoys having fun; holiday and summer parties, annual global company offsite, and lots of other great stuff",5.0,"Turn/River Capital
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,-1,Company - Private,Venture Capital & Private Equity,Finance,Unknown / Non-Applicable,-1
Data Scientist,$112K-$116K (Glassdoor est.),"Job Number: R0078142

Data Scientist, Mid

The Challenge:

Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by machine learning, artificial intelligence advances, and IoT? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection to cancer research, to national intelligence — you know the answers are in the data.

We have an opportunity for you to use your analytical skills to improve the DoD and federal agencies. You’ll work closely with your customer to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. You’ll develop algorithms, write scripts, build predictive analytics, use automation, and apply machine learning to turn disparate data points into objective answers to help our nation’s services and leaders make data-driven decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in the DoD and federal agencies.

Empower change with us.

You Have:

-2+ years of experience with data science and analytics

-Experience with analyzing large data sets

-Experience with programming and scripting languages, including Python

-Ability to effectively communicate results to technical and non-technical audiences

-Ability to carry out complex projects in data science and analytics with minimal supervision

-Ability to be highly motivated for learning

-Ability to obtain a security clearance

-BA or BS degree

Nice If You Have:

-Experience with designing and implementing custom machine learning algorithms

-Experience with graph algorithms and semantic Web

-Experience with designing and setting up relational databases

-Experience with Big Data computing environments, including Hadoop

-Experience with Navy mission systems

-MA or MS degree in Mathematics, CS, or a related quantitative field

Clearance:

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.

Build Your Career:

At Booz Allen, we know the power of data science and machine intelligence, and we’re dedicated to helping you grow as a data scientist. When you join Booz Allen, you can expect:
access to online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, Splunk, and other open-source and emerging tools
a chance to change the world with the Data Science Bowl—the world’s premier data science for social good competition
participation in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government.
You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications? Take advantage of our tuition assistance, onsite bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We’ll help you develop the career you want as you chart your own course for success.

We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.",3.7,"Booz Allen Hamilton Inc.
3.7","Oxnard, CA","Mc Lean, VA",10000+ employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),"Accenture, Deloitte, PwC"
eCom Senior Data Scientist,$112K-$116K (Glassdoor est.),"Auto req ID: 209191BR
Job Description


PepsiCo operates in an environment undergoing immense and rapid change, driven by eCommerce and emergent retail technologies. To ensure continued success in the food and beverage space, PepsiCo has assembled a dedicated eCommerce team – tasked with optimizing eCommerce operations and developing innovations that will give PepsiCo a sustainable competitive advantage. While tied closely to broader PepsiCo, the eCommerce group more closely resembles a start-up environment; embracing the core values of having bias for action, being results oriented, maintaining a community-focus, and prioritizing people.

PepsiCo’s Data Science and Analytics group is a team of data scientists, technology specialists, and business innovators who operate within eCommerce to build industry-leading systems and solutions. By focusing on machine learning and automation, the Data Science & Analytics group is pushing the bounds of possibility for PepsiCo and its strategic partners.

What PepsiCo Data Science & Analytics does:
Build machine learning systems to understand the cross-channel grocery ecosystem
Perform statistical analysis across diverse datasets to drive and measure performance
Work with PepsiCo’s strategic partners to expand their technical capabilities, thereby creating a more robust data environment
Utilize natural language understanding techniques to uncover insights from contextual data
Develop scalable tools to drive automation and optimize business operations
As a Senior Data Scientist, you will play a critical role in executing the global eCommerce growth agenda. You will be tasked with identifying, designing, and implementing data science/machine learning solutions to business problems. You will collaborate with the larger data science and analytics teams to create a robust, shared codebase; on which PepsiCo will build automated eCommerce systems. You will work with internal business stakeholders and strategic partners to identify opportunities for collaborative development and foster a data-driven culture between relevant teams.

Responsibilities:
Work with the larger data science team to analyze large data sets and develop custom models/algorithms to uncover trends, patterns and insights
Write clean, organized machine learning code using standard software engineering methodologies
Provide critical thought leadership to enhance organizational capabilities by utilizing big and small data; work with DSA team members to identify and execute on opportunities for enhancement
Qualifications/Requirements
Bachelor’s Degree in Data Science or equivalent
Development experience in Python, Java, C or equivalent programming language
Experience and or familiarity NumPy, Pandas, Pytorch, PostgresSQL, MSSQL, MySQL
Experience using Tensorflow to design custom deep learning systems
Expert in mathematical models underlying data science methods, understanding the trade-offs between different solutions
Experience in designing systems to solve business problems
Demonstrated ability to effectively and concisely communicate with both business and technical audiences
Relocation Eligible: Not Applicable
Job Type: Regular

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy

Please view our Pay Transparency Statement",3.7,"PepsiCo
3.7","New York, NY","Purchase, NY",10000+ employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),"Unilever, Mondelēz International, Amazon"
Data Scientist,$112K-$116K (Glassdoor est.),"Pandera Systems is a highly specialized analytics and technology consulting firm with a core focus in developing data-driven solutions. We bring together the most advanced engineers, data scientists, and technologists to help transform the world’s leading brands. Our teams at Pandera work in multidisciplinary environments harnessing data and technology to change the future of how people work. We help our clients realize faster execution and deployment of value-based data delivery systems that maximize competitive strategies, Pandera employs best-in-class rapid implementation methodology, centered on concentrated design and development practices. Pandera prides itself in being a leader in the analytics field, creating an artful blend of analytics and product expertise to create beautiful, data-driven products and platforms. Our mission is to remain the leader in existing and emerging advanced analytics utilizing modern and traditional analytical tool kits. We accomplish this by promoting your continuous development, both personally and professionally.

As a Data Scientist at Pandera, you are someone who can do a deep technical dive and communicate effectively with others by partnering with cross-functional teams focused on product improvements. You love wrangling messy data into an elegant solution and working with a wide range of data (behavioral, financial, etc.) to identify opportunities or unknown risks and articulate recommend solutions and strategies. You will contribute to data team initiatives focused on ensuing fast, reliable, and comprehensive data and serve as a trusted consultant and promote data literacy across the company. This role is a chance to have a huge impact on how millions of users collaborate.

Responsibilities:
Conduct research and communicate findings to Sr. Management
Analyze data in a business setting
Know how to pick the right approach for a question, from statistical models to A/B tests, to properly training a model to data visualizations
Collaborate with non-technical consumers of data
Self-motivated and thrive when working autonomously
To be curious, innovative, diligent and not afraid to fail fast
To keep current with emerging technologies and advanced analytic methodologies
Contribute to building analytical road maps for clients
Collaborate with other technical teams at a client to integrate or commercialize analytical solutions in Enterprise applications
Qualifications:
Master’s (PhD preferred) in Mathematics or Statistics
Exceptional critical thinking and presentation skills
Experience with IoT and Streaming Architecture
Proficient when it comes to writing SQL and Python
Experience working with NLP, ML and Deep Learning Models
Experience with large Data Sets
Experience with using API’s to access 3rd party data
Experience working with structured, semi-structured and unstructured data
Experience working with both SQL and NoSQL data sources
Experience in a consulting capacity is a plus
Tools: GCP, AWS, Azure, Scala, Python, SQL, ML Libraries (e.g., TensorFlow, stats models), R, SAS, Hadoop, Spark, Hive

What do you get out of this? You’re a hot commodity and having you on the team would be an honor to us! Here’s some of the ways we pay it forward to recognize your contribution to our vision!
Be Rewarded - A competitive salary and instant vesting on 401k are only a few of the rewards for a job well done.
Be Healthy - Health, dental, and vision offered through top tier providers and unlimited sick leave to keep you feeling at the top of your game.
Be Inspired - Collaborative workspace and unlimited vacation to keep your mind fresh and ready to take on the next new idea.
Be Supported - A large network of industry experts, internal training platform, and external learning opportunities to grow your skills and experience.
Be a Team - Team outings, happy hours, passion presentations, volunteer opportunities, meetups, etc. we are creating a community to continuously share and grow as a team.",4.3,"Pandera Systems
4.3","Arlington, VA","Orlando, FL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$112K-$116K (Glassdoor est.),"The Data team at Ordergroove is looking to hire a Data Scientist to join our growing lineup. Our team impacts the lives of millions of consumers through Ordergroove's AI platform which powers the retail experience of some of world's largest brands. On this platform the data science team is creating the foundational infrastructure for a new collection of data and AI driven products to enable frictionless commerce. If you're interested in a crucial role designing and building insights that feed highly visible products, then this role might be for you.

What you will do:
Devise, research, test and develop new ways that use our data to build long lasting relationships for some of the biggest brands in the world, impacting the lives of millions of users.
Build and improve resilient and scalable models for both batch and real-time services.
Evaluate and test the tradeoffs between competing machine learning models, methodologies and architectures.
Work alongside awesome engineers in an agile environment, constantly striving to be more innovative and efficient.
About you:


You have an innate curiosity to find and explore business problems using data and understand best ways to extract real world value from your insights.
You are self driven and prepared to work in a fast paced startup environment.
You are passionate about leveraging the best of breed technology/methodologies and eager to learn new skills.
You write professional level Python on a daily basis (R additionally a plus).
You are skilled at writing and optimizing SQL (core application DBs use MySQL Google BigQuery).
You have a degree in statistics, mathematics, computer science, economics, or another quantitative field and 2+ years experience in a data science role.
Bonus points for:


Startup and SaaS experience strongly preferred
Previous experience building models for subscription products
Previous e-commerce experience a bonus
You ideally have experience with Apache Airflow
You understand at least one Python-based web framework (Django, Flask etc)
You have hands-on experience with Google Cloud Platform
If you don't meet 100% of the qualifications outlined above - that's okay, nobody's perfect! We encourage you to apply if you think this is a role that would make you excited to come into work every day.

About Ordergroove:
Raised $40M from top notch investors
Headquartered in the heart of NYC (with offices in Austin and Denver)
Over 100 clients including The Honest Company, L'Oreal, Home Depot, Bed Bath & Beyond, Walmart, PetSmart, GNC and Pepsi
Meet some of the team you'll be working with: Rob O'Callaghan & Eugene Kozhukalo
We're a close-knit team of passionate engineers, marketers and innovators whose mission is to help our clients become an indispensable part of their customers' lives through Relationship Commerce. We've raised over $40M in venture capital and are planning to grow our team to 100 people this year!

Recently named one of the 2020 Best Companies to Work For in New York, our collaborative culture celebrates independent thinking and curiosity. We demand the best of ourselves and each other and never miss an opportunity to celebrate our success. Company events include hackathons, wine tours, summer BBQs, trips to baseball games and game nights.

We compete hard for the industry's best talent by offering great employee benefits including one of the most flexible PTO policies you'll find, highly competitive compensation and meaningful stock option grants. Our New York HQ is minutes from all of the major subways and boasts a 6,000 square foot private outdoor terrace overlooking beautiful downtown Manhattan.

When you join the Ordergroove team you'll be surrounded by smart, fun people working to transform the business of commerce! If you're ready for a high-impact role at a company creating groundbreaking solutions, we invite you to learn more and apply!

At Ordergroove we are committed to creating a welcoming and supportive environment for all people. We do not discriminate against anyone for any reason. We encourage people with different backgrounds and experiences to join our growing team.",3.9,"Ordergroove
3.9","New York, NY","New York, NY",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$112K-$116K (Glassdoor est.),"Data Scientist

RevenueCat is managing subscriptions for hundreds of millions of users across thousands of apps and we're sitting on a treasure-trove of data. We are looking for a data scientist, working with our data engineering team, to turn this data into valuable analysis and products.

We're also pioneering the use of predictive bayesian models to democratize access to insights previously only available to teams with strong data backgrounds and resources.

About us

RevenueCat is an API that makes selling subscriptions in your mobile app easy. We launched as part of Y Combinator's summer 2018 batch and today are handling subscriptions for more than 3 million mobile subscribers, and are the subscription infrastructure for thousands of apps. We are a mission driven, remote-first company that is building for the long term.

About You

You have 2+ years of full time work experience, with at least some of that time preferably at a start-up

You are a master of SQL and are comfortable with data modeling

You have experience building bayesian inference models (probabilistic programming)

You can write code to automate common tasks

You are obsessed with understanding errors inherent in data

You are interested in the consumer mobile subscription ecosystem and are excited to explore the data we have

You are a diehard bayesian (frequentists welcome to apply as well, but we'll have to update our priors)

In the first month, you'll

Learn all the data we're collecting

Start answering questions using our existing transactional database and other data sources

Work with our engineering team to design and build a data warehouse

Take ownership of our existing predictive bayesian model, improve them, and start to build new ones

Within the first 3 months, you'll

Contribute to product-features that use our data to help developers make more money

Have a complete understanding of the extent and limitations of our data

Publish data-driven content to our blog

Launch your own explorations into our data to fulfill your own curiosity

Within the first 6 months, you'll

Publish content that is read by hundreds of thousands, if not millions, of people, and is considered the authority on the subscription app ecosystem

Work very closely with the product, marketing, and operations to inform decision making and improve the trajectory of the company

Do a lot of SELECTs

Discover lots of sources of systematic error

Within the first 12 months, you'll

Be the company expert on our data

Propose, design, and develop new data driven features from idea to shipping

Lay the ground work for expanding our data team

What We Offer

$129k-$177k, 0.35%-0.65%

Employee health, vision, and dental plans (for US-based workers)

Unlimited vacation, remote work, and WFH

Company offsites twice per year

A wellness-focused, long-term oriented work environment

We are sadly unable to sponsor visas at this time.

SDL2017",-1,Revenue Cat,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$112K-$116K (Glassdoor est.),"Req ID: 177439

The Job

Warner Bros. Entertainment Inc. seeks a Data Scientist for the Digital Product, Platform & Strategy: Data Intelligence Operations department. We are looking for a talented data scientist to join our Data Intelligence Team. The data scientist will be responsible for predictive modeling and analysis of customer data, as well as researching best practices in analytics and data science, and sharing them across the company to improve analytic capabilities at Warner Bros.

The Daily
Analyze and model internal customer data.
Build relationships and collaborate with analysts and researchers across WB.
Produce statistical and machine learning models that inform how we communicate with our customers.
Drive improvement in our methodologies, systems and processes.
Provide analysis, reporting, and modeling to internal organizations based on customer data.
Prepare and present results of analyses to leadership.
The Essentials
B.A./B.S. degree in Statistics, Mathematics, Computer Science, Economics, Political Science, or similar quantitative field.
Quantitative oriented Masters Degree or Ph.D preferred.
Minimum of 1-2 years of experience in analytics and data science.
1+ years of experience with conducting analysis in R, Python, SAS, or similar analytical languages.
Experience with relational databases and SQL.
Experience with working in cloud based environments like AWS a plus.
Expertise in machine learning and predictive modeling approaches such as Random Forest, GBM, xgBoost, neural networks/deep learning, etc.
Skilled researcher, able to distill large bodies of research to key findings and explain them to varied audiences.
Experience developing testing plans for evaluating campaigns or changes to products
Knowledge of basic survey design and analysis.
Strong history of identifying opportunities for developing predictive models to meet business needs.
Love of TV, Movies, Games, and Comics is a Plus!
Must be able to communicate effectively and tactfully with all levels of personnel, both in person and on the telephone.
Must be able to pay close attention to complex detail and understand written and oral instructions.
Must be able to organize and schedule work effectively.
Must be able to work well under time constraints.
Must be able to handle multiple tasks with changing priorities, communicating changes in scope and schedule to all parties concerned.
Must be able to work independently.
Must be able to maintain confidentiality.
177439",3.7,"Turner Broadcasting
3.7","Burbank, CA","New York, NY",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD),"Walt Disney Company, NBCUniversal"
